French,English
histoire,history
chercher,search
seulement,only
police,police
pensais,thought
aide,help
genre,kind
frère,brother
mettre,to put
aucun,no
laisse,leash
eux,them
devrait,should
longtemps,long time
heures,hours
pendant,while
revoir,meet again
place,square
savais,knew
étaient,were
attention,Warning
voici,here is
pourrais,could
affaire,case
donner,give
type,type
corps,body
yeux,eyes
dont,whose
trouve,find
premier,first
perdu,lost
main,hand
première,first
tiens,here
enfant,child
point,point
suite,after
devant,in front of
minutes,minutes
aujourd'hui,today
mari,husband
enfin,finally
attendez,Wait
parti,left
nouvelle,new
donne,given
aura,will have
jouer,to play
bureau,office
